Asset_Number,Lag,ACF_Value
600071,1,-0.0304
600071,2,-0.1945
600071,3,-0.1281
600071,4,-0.0303
600071,5,0.0274
600071,6,-0.0586
600071,7,-0.0325
600071,8,-0.0064
600071,9,-0.0007
600071,10,-0.0085
600071,11,-0.0166
600071,12,-0.0044
600071,13,-0.036
600071,14,-0.0426
600071,15,0.0216
600071,16,0.005
600071,17,-0.024
600071,18,0.0294
600071,19,0.0288
600071,20,0.0474
600072,0,1.0
600072,1,-0.0269
600072,2,-0.1727
600072,3,-0.1157
600072,4,-0.0965
600072,5,-0.0223
600072,6,-0.0352
600072,7,-0.0134
600072,8,-0.0393
600072,9,0.0306
600072,10,0.0458
600072,11,0.0082
600072,12,-0.0317
600072,13,-0.0218
600072,14,0.0005
600072,15,-0.0298
600072,16,-0.029
600072,17,0.0721
600072,18,-0.0319
600072,19,0.0213
600072,20,-0.0062
600073,0,1.0
600073,1,-0.0175
600073,2,-0.1383
600073,3,-0.116
600073,4,-0.0652
600073,5,-0.0193
600073,6,-0.0394
600073,7,-0.0652
600073,8,-0.0267
600073,9,0.003
600073,10,-0.0088
600073,11,-0.0218
600073,12,-0.0208
600073,13,-0.0378
600073,14,0.0406
600073,15,-0.0293
600073,16,0.0176
600073,17,0.0299
600073,18,-0.0063
600073,19,0.0883
600073,20,-0.0281
600074,0,1.0
600074,1,-0.0166
600074,2,-0.1383
600074,3,-0.1071
600074,4,-0.0438
600074,5,-0.0349
600074,6,-0.0401
600074,7,-0.0362
600074,8,-0.0097
600074,9,-0.0128
600074,10,-0.0163
600074,11,-0.0562
600074,12,-0.0219
600074,13,0.0281
600074,14,-0.0209
600074,15,-0.0113
600074,16,-0.0178
600074,17,-0.0125
600074,18,0.0264
600074,19,0.003
600074,20,0.0714
600075,0,1.0
600075,1,-0.0188
600075,2,-0.1366
600075,3,-0.0741
600075,4,-0.0604
600075,5,-0.0464
600075,6,-0.0317
600075,7,-0.0557
600075,8,-0.0674
600075,9,0.0117
600075,10,-0.0008
600075,11,-0.0105
600075,12,0.013
600075,13,-0.0706
600075,14,0.0719
600075,15,0.0301
600075,16,0.02
600075,17,-0.032
600075,18,-0.0219
600075,19,-0.0144
600075,20,-0.0127
600076,0,1.0
600076,1,-0.0207
600076,2,-0.1535
600076,3,-0.1134
600076,4,-0.0125
600076,5,0.0109
600076,6,-0.0692
600076,7,-0.056
600076,8,-0.0314
600076,9,-0.014
600076,10,-0.0187
600076,11,-0.0229
600076,12,-0.0034
600076,13,0.0439
600076,14,-0.0508
600076,15,0.0587
600076,16,0.0073
600076,17,-0.03
600076,18,0.0211
600076,19,-0.035
600076,20,-0.0178
600077,0,1.0
600077,1,-0.0239
600077,2,-0.1564
600077,3,-0.0923
600077,4,-0.0971
600077,5,-0.0575
600077,6,-0.0016
600077,7,-0.0028
600077,8,-0.0605
600077,9,-0.0359
600077,10,-0.0158
600077,11,0.0041
600077,12,0.0161
600077,13,0.0033
600077,14,0.0413
600077,15,0.0054
600077,16,-0.0087
600077,17,0.0252
600077,18,-0.0445
600077,19,-0.007
600077,20,0.0104
600078,0,1.0
600078,1,-0.0135
600078,2,-0.1273
600078,3,-0.0917
600078,4,-0.0493
600078,5,-0.0157
600078,6,-0.0331
600078,7,-0.0885
600078,8,0.018
600078,9,0.0146
600078,10,-0.0299
